date,close,VoBTC,VoUSDT
2017-08-17 04:00:00,4308.83,44.51,190952.85
2017-08-17 05:00:00,4315.32,23.23,100304.82
2017-08-17 06:00:00,4324.35,7.23,31282.31
2017-08-17 07:00:00,4349.99,4.44,19241.06
2017-08-17 08:00:00,4360.69,0.9499,4139.7
2017-08-17 09:00:00,4444,10.76,47219.36
2017-08-17 10:00:00,4460,23.94,106203.72
2017-08-17 11:00:00,4427.3,27.02,120751.57
2017-08-17 12:00:00,4411,23.03,102126.52
2017-08-17 13:00:00,4459,30.76,136515.55
2017-08-17 14:00:00,4470.82,51.74,230871.45
2017-08-17 15:00:00,4352.34,67.79,299224.79
2017-08-17 16:00:00,4354.18,67.17,289379.63
2017-08-17 17:00:00,4354.18,59.54,256367.56
2017-08-17 18:00:00,4256.97,51.28,218259.36
2017-08-17 19:00:00,4325.23,46.22,197425.28
2017-08-17 20:00:00,4325.23,48.96,210501.53
2017-08-17 21:00:00,4333.55,61.76,268227.11
2017-08-17 22:00:00,4336.8,57.38,248368.28
2017-08-17 23:00:00,4285.08,81.29,350806.21
2017-08-18 00:00:00,4286.53,78.74,337549.35
2017-08-18 01:00:00,4243.59,72.32,304223.23
2017-08-18 02:00:00,4267.59,54.07,230478.63
2017-08-18 03:00:00,4292.39,63.48,271281.6
2017-08-18 04:00:00,4287.92,50.69,216069.15
2017-08-18 05:00:00,4313.56,64.0,274857.3
2017-08-18 06:00:00,4279.46,63.95,274013.68
2017-08-18 07:00:00,4300.25,68.92,295447.38
2017-08-18 08:00:00,4282.73,73.83,316938.59
2017-08-18 09:00:00,4304.15,45.64,196232.32
2017-08-18 10:00:00,4356.31,51.54,223471.0
2017-08-18 11:00:00,4340.31,24.09,104474.98
2017-08-18 12:00:00,4336.52,15.12,65468.18
2017-08-18 13:00:00,4261.99,17.01,72942.01
2017-08-18 14:00:00,4259.4,71.29,302601.43
2017-08-18 15:00:00,4236.89,39.79,168642.65
2017-08-18 16:00:00,4250.34,44.54,189710.83
2017-08-18 17:00:00,4193.35,62.36,261924.27
2017-08-18 18:00:00,4117.41,25.09,104309.76
2017-08-18 19:00:00,4136.28,59.7,243223.71
2017-08-18 20:00:00,4021.11,18.94,76391.96
2017-08-18 21:00:00,3975.69,14.61,58041.32
2017-08-18 22:00:00,4113.75,29.03,117307.1
2017-08-18 23:00:00,4108.37,44.94,184792.57
2017-08-19 00:00:00,4163.49,41.22,169694.17
2017-08-19 01:00:00,4148.53,28.84,120196.97
